"id","epa_x","epa_y","map_x","map_y"
"12198","3221318","1415118","1048144.766","389705.101"
"12199","3221494","1414786","1047136.358","389309.998"
"12202","3221151","1414713","1047788.353","388751.494"
"12203","3220837","1415794","1047536.12","389695.008"
"12204","3220456","1415589","1048064.529","387490.902"
"12205","3220480","1415944","1047603.709","388854.027"
"12206","3221130","1415951","1047928.193","389520.802"
"12207","3221261","1415950","1046439.158","387374.405"
"12208","3220775","1416302","1047601.816","388144.815"
"12209","3220387","1415480","1047920.358","387604.605"
"12210","3220254","1416505","1048078.452","389330.007"
"12211","3220900","1416974","1047371.981","388069.625"
"12212","3220926","1416927","1048207.365","388468.768"
"12213","3220559","1416674","1048516.643","387993.851"
"12214","3220997","1416657","1047158.306","388111.659"
"12215","3220872","1416572","1046042.852","389405.138"
"12216","3221570","1416444","1047150.867","388760.524"
"12217","3221269","1416541","1047387.582","388462.484"
"12218","3221684","1416249","1047921.543","389932.57"
"12219","3221742","1416665","1048152.218","388392.209"
"12220","3221070","1417276","1047155.458","388234.855"
"12221","3221524","1417259","1047147.748","389107.56"
"12222","3221527","1416772","1048083.342","389323.508"
"12223","3221642","1416981","1048785.379","388295.59"
"12224","3221773","1417441","1047278.219","388393.257"
"12225","3221958","1417066","1046075.022","389345.045"
"12226","3222409","1416821","1048477.774","388779.328"
